parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	distribution	mu	sigma	granularity
k_output_species_8867513	k_output_species_8867513_name	log	-20	20	6.666666666666668	1	normal	0	0	0.0
k_output_species_8867509	k_output_species_8867509_name	log	-20	20	6.666666666666667	1	normal	0	0	0.0
k_output_species_211729	k_output_species_211729_name	log	-20	20	6.555261640517566e-17	1	normal	0	0	0.0
k_input_species_9840234	k_input_species_9840234_name	log	-20	20	-3.5977445711966084e-08	1	normal	0	0	0.0
k_input_species_8867508	k_input_species_8867508_name	log	-20	20	-0.8333333333333334	1	normal	0	0	0.0
k_input_species_113521	k_input_species_113521_name	log	-20	20	-0.8333333333333326	1	normal	0	0	0.0
k_input_species_69593	k_input_species_69593_name	log	-20	20	3.0186239017416485e-17	1	normal	0	0	0.0
k_input_species_68819	k_input_species_68819_name	log	-20	20	4.682479603154125e-17	1	normal	0	0	0.0
k_input_species_211654	k_input_species_211654_name	log	-20	20	-0.8333333333333337	1	normal	0	0	0.0
k_input_species_195125	k_input_species_195125_name	log	-20	20	-0.8333333333333337	1	normal	0	0	0.0
k_forcat_reaction_211734	k_forcat_reaction_211734_name	log	-20	20	4.1709028207382664e-18	1	normal	0	0	0.0
k_activator_modifierspeciesreference_211734_catalyst_69593	k_activator_modifierspeciesreference_211734_catalyst_69593_name	log	-20	0	-3.2447922195124574e-22	1	normal	0	0	0.0
k_forcat_reaction_211716	k_forcat_reaction_211716_name	log	-20	20	8.333333333333336	1	normal	0	0	0.0
k_forcat_reaction_211731	k_forcat_reaction_211731_name	log	-20	20	8.333333333333336	1	normal	0	0	0.0
k_forcat_reaction_211715	k_forcat_reaction_211715_name	log	-20	20	6.489584439024915e-22	1	normal	0	0	0.0
k_activator_modifierspeciesreference_211715_catalyst_68819	k_activator_modifierspeciesreference_211715_catalyst_68819_name	log	-20	0	-3.2447922195124574e-22	1	normal	0	0	0.0
k_forcat_reaction_8867344	k_forcat_reaction_8867344_name	log	-20	20	-7.516734255505783e-17	1	normal	0	0	0.0
k_activator_modifierspeciesreference_8867344_catalyst_9840234	k_activator_modifierspeciesreference_8867344_catalyst_9840234_name	log	-20	0	-3.333333333333334	1	normal	0	0	0.0
k_output_species_9840234	k_output_species_9840234_name	log	-20	20	2.6463415280533735e-16	1	normal	0	0	0.0
k_output_species_68819	k_output_species_68819_name	log	-20	20	-1.6666666666666667	1	normal	0	0	0.0
k_output_species_69593	k_output_species_69593_name	log	-20	20	1.1473591853765239e-16	1	normal	0	0	0.0
scale_parameter	scale_parameter_name	log	0	20	1.910260542239534e-17	1	normal	0	0	0.0
