k_forcat_reaction_1225949	k_forcat_reaction_1225960
k_forcat_reaction_1225956	k_forcat_reaction_1225960
k_forcat_reaction_5637792	k_forcat_reaction_5637795
k_forcat_reaction_1225947	k_forcat_reaction_1225952
k_forcat_reaction_5637798	k_forcat_reaction_5637808
k_forcat_reaction_5637765	k_forcat_reaction_5637801
k_forcat_reaction_5637766	k_forcat_reaction_5637796
k_forcat_reaction_1248002	k_forcat_reaction_1248655
k_forcat_reaction_1247841	k_forcat_reaction_1247844
k_forcat_reaction_1225960	k_forcat_reaction_1225956
k_forcat_reaction_1225960	k_forcat_reaction_1225956
k_forcat_reaction_1225949	k_forcat_reaction_1225956
k_forcat_reaction_1225961	k_forcat_reaction_1225957
k_forcat_reaction_1225950	k_forcat_reaction_1225951
k_input_species_1220582	k_forcat_reaction_1169421
k_forcat_reaction_5637770	k_forcat_reaction_5637806
k_forcat_reaction_1226012	k_forcat_reaction_1226014
